target_id,start,end,role,reason
PASSION24.HOUR.21.P010,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.21.P010,55,57,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.21.P019,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.21.P019,45,47,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.21.P023,18,20,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.21.P023,135,137,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.21.P027,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.21.P027,214,216,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.21.P066,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.21.P068,84,86,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.21.P083,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.21.P083,40,42,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.22.P006,145,147,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.P006,158,160,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.P007,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.22.P009,27,29,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.22.P022,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.22.P022,21,23,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.22.P028,96,98,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.P028,187,189,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.P029,87,89,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.P029,96,98,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.P030,67,69,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.P030,119,121,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.P031,143,145,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.P031,190,192,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.P041,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.22.P041,66,68,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.22.REF.P001,214,216,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.22.REF.P001,235,237,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.23.P011,12,14,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.23.P018,132,134,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.HOUR.24.DESOL.P001,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.24.DESOL.P001,139,141,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.24.DESOL.P009,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.24.DESOL.P014,117,119,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.24.DESOL.P018,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.24.DESOL.P019,174,176,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.24.DESOL.P022,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.24.DESOL.P027,77,79,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.24.DESOL.P077,0,2,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.HOUR.24.DESOL.P077,118,120,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.SECTION.BENEFITS.P004,97,98,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P015,95,96,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P017,83,84,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P018,15,16,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P034,211,212,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P051,107,108,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,UNBALANCED_SOURCE_OUTER_CLOSE_AFTER_DIVINE_TURN
PASSION24.SECTION.BENEFITS.P055,230,231,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P055,308,309,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P057,35,36,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P057,391,392,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P078,0,1,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.SECTION.BENEFITS.P086,202,203,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_TARGET_START
PASSION24.SECTION.BENEFITS.P093,91,92,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P095,64,65,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P102,194,195,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P102,208,209,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P103,61,62,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P106,40,41,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P106,118,119,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P108,12,13,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P108,368,369,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P110,12,13,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P116,216,217,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P120,150,151,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P131,133,134,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P136,156,157,OUTER_DIVINE_CLOSE_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
PASSION24.SECTION.BENEFITS.P136,178,179,OUTER_DIVINE_OPEN_WRAPPER_HIDE,OUTER_DIVINE_DIRECT_ATTRIBUTION
